datum,javni,zasebni
2020-11-20,1780.443641472507,2220.9462683510637
2020-12-01,1778.1572489757914,2222.6556986702126
2020-12-10,1778.1061169302325,2224.4160276595744
2020-12-20,1777.4293738847584,2231.447144
2021-01-01,1773.4314736744186,2219.2126236702125
2021-01-10,1770.4463611731842,2220.0612312
2021-01-20,1771.7551385687732,2222.1063237333333
2021-02-01,1773.8739037209302,2228.488243315508
2021-02-10,1774.2143370817844,2221.5658632
2021-02-20,1779.437519925512,2216.541183244681
2021-03-01,1772.5005982407408,2215.7119559681696
2021-03-10,1774.5636005555555,2217.6618271276593
2021-03-20,1775.878285171455,2220.0836199468085
2021-04-01,1771.1285272391506,2223.259163829787
2021-04-10,1773.798303321033,2243.2916564864863
2021-04-20,1767.9508292929293,2245.849472972973
2021-05-01,1769.0238017463234,2241.296576216216
2021-05-10,1767.099227398524,2235.6542056756757
2021-05-20,1775.7620631481482,2243.1216943396225
2021-06-01,1781.5392017657991,2243.8674700808624
2021-06-10,1783.2223768156423,2245.651334231806
2021-06-20,1784.7324923578751,2245.848591105121
2021-07-01,1784.9313480410449,2242.3921059139784
2021-07-10,1779.6453100371748,2242.8951233870966
2021-07-20,1780.7077212290503,2244.819490860215
2021-08-01,1774.941125464684,2255.9259624324322
2021-08-10,1769.1256832252086,2256.7104591891894
2021-08-20,1766.0177201478743,2251.961916172507
2021-09-01,1769.7370872222223,2251.296576819407
2021-09-10,1766.9783666358594,2247.07521155914
2021-09-20,1768.2549668207023,2248.878348655914
2021-10-01,1770.2411168362628,2248.440449731183
2021-10-10,1768.6059693444138,2249.4337462365593
2021-10-20,1767.1054253909845,2251.745121293801
2021-11-01,1762.612526055046,2251.8192552560645
2021-11-10,1764.925499816345,2246.41419516129
2021-11-20,1764.9748015582036,2261.158867208672
2021-12-01,1769.3566419651056,2257.769119512195
2021-12-10,1776.724850046083,2252.8407251351355
2021-12-20,1777.132537327189,2247.41391967655
2022-01-01,1769.4422079816513,2248.1032794594594
2022-01-10,1759.9476654445461,2253.470216576087
2022-01-20,1763.6455844811755,2254.494112568306
2022-01-31,1760.098607404022,2255.757098087432
2022-02-10,1755.8489443533697,2254.6497799999997
2022-02-20,1758.7901161202187,2249.744655464481
2022-02-28,1762.989230355515,2250.287956284153
2022-03-10,1767.8150685557587,2232.3932347826085
2022-03-20,1765.8363241567913,2234.0285942934784
2022-03-31,1768.148959161349,2236.166160326087
2022-04-10,1765.082960672116,2230.4457595108693
2022-04-20,1764.443535181818,2214.500244743935
2022-04-30,1761.5128689311593,2214.5629005390833
2022-05-10,1757.9413473779384,2201.67846461126
2022-05-20,1756.66807633243,2202.985175603217
2022-05-31,1756.9909066063349,2198.1985352941174
2022-06-10,1755.140022030825,2178.957628723404
2022-06-20,1758.1707337887067,2182.2522765957447
2022-06-30,1756.220980090909,2179.6508739361702
2022-07-10,1754.4068060909092,2171.4117237333335
2022-07-20,1752.6288506811989,2173.3247002659573
2022-07-31,1754.0910636363635,2170.889125265958
2022-08-10,1754.0826755676658,2172.2067292553193
2022-08-20,1757.7762876363636,2188.798716085791
2022-08-31,1763.9906334246575,2189.5805099195713
2022-09-10,1756.6897617834395,2183.0992367292224
2022-09-20,1764.000246849315,2179.206720053476
2022-09-30,1767.9920347349178,2175.2303349333333
2022-10-10,1761.408557625571,2177.559101340483
2022-10-20,1765.2451623744294,2176.240576737968
2022-10-31,1766.5452147031965,2184.2192466487936
2022-11-10,1766.5599846575344,2188.4098217158175
2022-11-20,1768.2051310724105,2193.126404825737
2022-11-30,1769.8919911764706,2193.6585245989304
2022-12-10,1774.849943859649,2198.935274530831
2022-12-20,1772.340041697417,2200.439856684492
2022-12-31,1772.472982195572,2179.2592145502645
2023-01-10,1779.9115899347623,2212.8173435483873
2023-01-20,1782.4582292910447,2217.195338873995
2023-01-31,1774.2912109869646,2220.143766219839
2023-02-10,1773.8509667910448,2194.0985707446807
2023-02-20,1775.9885187850466,2202.767410106383
2023-02-28,1774.6245978524744,2205.1130276595745
2023-03-10,1784.775639624413,2210.1192541333335
2023-03-20,1789.3193866290019,2212.5237290666664
2023-03-23,1795.464568177526,2220.1892048257373
2023-03-24,1795.3014100189037,2220.4929613941017
2023-03-25,1792.5156941454202,2219.5005064343163
2023-03-27,1792.6281153918792,2219.6124361930297
2023-03-28,1793.001002549575,2219.848753887399
2023-03-29,1791.6294288679246,2219.93511152815
2023-03-30,1791.893109245283,2220.3575908847183
2023-03-31,1792.1166611320755,2220.5605721179627
2023-04-01,1791.9660953773584,2226.5803400537634
2023-04-03,1792.0067859433962,2226.727233333333
2023-04-04,1793.3198966037737,2226.8420529569894
2023-04-05,1794.178043207547,2226.881974193548
2023-04-06,1794.5680425471699,2227.219451612903
2023-04-07,1795.0410425471698,2227.2732360215055
2023-04-08,1791.938059322034,2227.39634327957
2023-04-10,1791.9867329566855,2227.5648663978495
2023-04-11,1791.9715266478343,2227.6235295698925
2023-04-12,1794.0845872761547,2227.617833064516
2023-04-13,1792.7547948210922,2227.7220599462366
2023-04-14,1793.149024387947,2229.1461433962268
2023-04-15,1793.459975329567,2228.947188948787
2023-04-17,1793.4473223163843,2229.122990026954
2023-04-18,1793.8763574387947,2229.1313223719676
2023-04-19,1794.3372482109228,2229.0984398921833
2023-04-20,1793.0249165569144,2228.948329110512
2023-04-21,1793.5349319849481,2228.633233692722
2023-04-22,1793.9399445907807,2228.62108490566
2023-04-24,1793.956282784572,2228.795363342318
2023-04-25,1799.5281245283018,2222.9229061994606
2023-04-26,1800.1451325471699,2222.9033946091645
2023-04-27,1798.5082188679246,2222.8751390835578
2023-04-28,1798.4821866037737,2222.949803773585
2023-04-29,1798.5168732075472,2222.984415902965
2023-05-01,1801.8669561436673,2223.1631161725068
2023-05-02,1801.813195179584,2223.152075202156
2023-05-03,1801.809192911153,2223.226069272237
2023-05-04,1800.3472953729934,2223.12954851752
2023-05-05,1798.9256100943396,2222.3184234501346
2023-05-06,1797.9391329877474,2221.780002425876
